CC(=O)N1CCOC(C(=O)Nc2ccccc2)C1,18,12,CC(O)C1CCCC(C(O)NC2CCCCC2)C1,,F2
O=C(Nc1ccccc1)C1CNCCO1,15,12,OC(NC1CCCCC1)C1CCCCC1,,F2
C1COCCN1.c1ccccc1,12,12,C1CCCCC1.C1CCCCC1,,F2
C1COCCN1,6,6,C1CCCCC1,,F2
NC(=O)C1CNCCO1,9,6,NC(O)C1CCCCC1,,F2
NC=O,3,0,NCO,,F2
O=CNc1ccccc1,9,6,OCNC1CCCCC1,,F2
CC=O.O=CNc1ccccc1,12,6,CCO.OCNC1CCCCC1,,F2
CC=O.c1ccccc1,9,6,C1CCCCC1.CCO,,F2
CC=O,3,0,CCO,,F2
CC=O.NC=O,6,0,CCO.NCO,,F2
CC(=O)N1CCOCC1.c1ccccc1,15,12,C1CCCCC1.CC(O)C1CCCCC1,,F2
CC(=O)N1CCOCC1,9,6,CC(O)C1CCCCC1,,F2
CC(=O)N1CCOC(C(N)=O)C1,12,6,CC(O)C1CCCC(C(N)O)C1,,F2
CC(=O)N1CCOC(C(N)=O)C1.CC(N)=O,16,6,CC(N)O.CC(O)C1CCCC(C(N)O)C1,,F2
CC(N)=O.NC(=O)C1CNCCO1,13,6,CC(N)O.NC(O)C1CCCCC1,,F2
C1COCCN1.CC(N)=O,10,6,C1CCCCC1.CC(N)O,,F2
CC(N)=O.NC=O,7,0,CC(N)O.NCO,,F2
CC(N)=O.CC=O.NC=O,10,0,CC(N)O.CCO.NCO,,F2
CC(N)=O.CC=O,7,0,CC(N)O.CCO,,F2
CC(=O)N1CCOCC1.CC(N)=O,13,6,CC(N)O.CC(O)C1CCCCC1,,F2
CC(=O)N1CCOCC1.CC(=O)Nc1ccccc1,19,12,CC(O)C1CCCCC1.CC(O)NC1CCCCC1,,F2
C1COCCN1.CC(=O)Nc1ccccc1,16,12,C1CCCCC1.CC(O)NC1CCCCC1,,F2
CC(=O)Nc1ccccc1.CC=O,13,6,CC(O)NC1CCCCC1.CCO,,F2
